mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.10049128532409668,0.00344428651910159,0.006405687332153321,0.000490096089060999,66,26,21,2,"{'n_estimators': 66, 'min_samples_split': 26, 'min_samples_leaf': 21, 'max_depth': 2}",0.5268605846335445,0.5075542645785319,0.5600216461224816,0.6215175644559296,0.5348494648928028,0.5501607049366581,0.03945041951445894,97
0.37874364852905273,0.006091603801668234,0.015414047241210937,0.0004905244125994745,152,23,4,27,"{'n_estimators': 152, 'min_samples_split': 23, 'min_samples_leaf': 4, 'max_depth': 27}",0.7479858505318442,0.6438298062257919,0.6872739933002928,0.7050946710256308,0.753382510661927,0.7075133663490973,0.04052919568500953,20
0.3359048843383789,0.0070092644023702095,0.015013551712036133,0.0010964974767641207,155,22,17,20,"{'n_estimators': 155, 'min_samples_split': 22, 'min_samples_leaf': 17, 'max_depth': 20}",0.6740182484433976,0.6164403268788348,0.6715709328969987,0.7389705906807812,0.6663096641414921,0.6734619526083009,0.03898176012921852,52
0.18456754684448243,0.005166050525130473,0.008607769012451172,0.0010208708784305996,89,22,20,8,"{'n_estimators': 89, 'min_samples_split': 22, 'min_samples_leaf': 20, 'max_depth': 8}",0.6411591641737218,0.6232259893182974,0.6867215720235172,0.7250583213835566,0.6522844628169131,0.6656899019432012,0.03619830698337224,58
0.39776105880737306,0.0076383934227523395,0.019617891311645506,0.007742622272823956,145,8,6,15,"{'n_estimators': 145, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_depth': 15}",0.752746233811924,0.6617911960780316,0.7159853613205311,0.7016473418604761,0.7498895134775575,0.716411929309704,0.033593242853099385,8
0.33810672760009763,0.0087577200643019,0.014212894439697265,0.00040028099150603215,153,17,19,11,"{'n_estimators': 153, 'min_samples_split': 17, 'min_samples_leaf': 19, 'max_depth': 11}",0.6574706106346532,0.6189062856013232,0.6792238309732528,0.727621843945085,0.654199949982823,0.6674845042274274,0.03575167742082328,56
0.23241090774536133,0.01102636895610312,0.009008216857910156,0.0010963233894882058,73,7,4,20,"{'n_estimators': 73, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_depth': 20}",0.7559450119873778,0.6656693168456687,0.7154307120787808,0.7102773246588507,0.76962921551211,0.7233903162165576,0.036782777597108324,2
0.08567790985107422,0.0032649043021766764,0.004403924942016602,0.0004904854790165134,38,25,15,24,"{'n_estimators': 38, 'min_samples_split': 25, 'min_samples_leaf': 15, 'max_depth': 24}",0.6952794960669506,0.6067146671795174,0.6734945480116905,0.7393228893963734,0.6695593390354272,0.6768741879379918,0.04295551888807208,50
0.23841652870178223,0.003973387304790506,0.009808826446533202,0.0007489782108529467,104,12,13,20,"{'n_estimators': 104, 'min_samples_split': 12, 'min_samples_leaf': 13, 'max_depth': 20}",0.7186786068280816,0.627231434433738,0.6607391847237106,0.7352893973192565,0.6887031947355625,0.6861283636080698,0.038977978385641585,44
0.2606366157531738,0.007009122772173437,0.012811565399169922,0.0016013860729136937,127,22,25,8,"{'n_estimators': 127, 'min_samples_split': 22, 'min_samples_leaf': 25, 'max_depth': 8}",0.5722814498432509,0.6170636807845236,0.6858413436997803,0.6906141992158333,0.6005115468128011,0.6332624440712378,0.04713272189169525,77
0.046642303466796875,0.002655716986324339,0.0022020339965820312,0.0004003048085115577,20,4,13,21,"{'n_estimators': 20, 'min_samples_split': 4, 'min_samples_leaf': 13, 'max_depth': 21}",0.720476151820676,0.6286347991726673,0.6913715580103789,0.711676187906801,0.7113180857655192,0.6926953565352084,0.0334196290894113,38
0.11250219345092774,0.006687330389367714,0.005404949188232422,0.0004902712496236431,43,2,10,13,"{'n_estimators': 43, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_depth': 13}",0.709119908181046,0.640899980994458,0.6819322417211529,0.7278004025529634,0.7071069697857133,0.6933719006470668,0.030020465543988715,37
0.36052718162536623,0.005781223223517258,0.016214799880981446,0.0011673733995798963,171,8,20,17,"{'n_estimators': 171, 'min_samples_split': 8, 'min_samples_leaf': 20, 'max_depth': 17}",0.644851678231053,0.6241735251676055,0.6880354960996673,0.7250883771443168,0.644824490267923,0.6653947133821131,0.03638756728724702,59
0.21519532203674316,0.005904601364742167,0.010409402847290038,0.0010206558012256348,102,15,20,10,"{'n_estimators': 102, 'min_samples_split': 15, 'min_samples_leaf': 20, 'max_depth': 10}",0.6451880168205959,0.6285753908786091,0.6769732961737864,0.729013203595575,0.6461515738780852,0.6651802962693303,0.0355398860902239,61
0.48964457511901854,0.010619135611000283,0.019617843627929687,0.0008008719821417764,198,20,6,15,"{'n_estimators': 198, 'min_samples_split': 20, 'min_samples_leaf': 6, 'max_depth': 15}",0.7481848679250527,0.6487464886702523,0.6948792868494108,0.7006712107718083,0.7430411405087457,0.707104598945054,0.03626441587313226,22
0.02222023010253906,0.0009806203702926847,0.0018015861511230468,0.0004001140736550456,10,16,15,29,"{'n_estimators': 10, 'min_samples_split': 16, 'min_samples_leaf': 15, 'max_depth': 29}",0.7177788641446146,0.6251135435828519,0.6468752260296928,0.7175272555753673,0.7033782042726642,0.6821346187210382,0.03864988663705239,47
